Time,accX,accY,accZ
1503530534508,0.18917847,-0.21374512,9.123856
1503530534517,0.17489624,-0.27563477,9.111954
1503530534527,0.15585327,-0.20422363,9.1167145
1503530534538,0.18917847,-0.19708252,9.188126
1503530534547,0.17727661,-0.25421143,9.195267
1503530534557,0.18203735,-0.17565918,9.388077
1503530534566,0.16537476,-0.22088623,9.076248
1503530534577,0.18441772,-0.21136475,9.211929
1503530534587,0.18441772,-0.1828003,9.128616
1503530534596,0.17965698,-0.20184326,9.1167145
1503530534607,0.18917847,-0.21136475,9.121475
1503530534616,0.22488403,-0.24707031,9.1548
1503530534626,0.17965698,-0.21136475,9.052444
1503530534636,0.15585327,-0.24230957,9.064346
1503530534646,0.19869995,-0.21612549,9.147659
1503530534656,0.18917847,-0.2232666,9.107193
1503530534666,0.20108032,-0.22564697,9.100052
1503530534675,0.17727661,-0.206604,9.092911
1503530534685,0.23440552,-0.1828003,9.08815
1503530534695,0.17251587,-0.23040771,9.126236
1503530534704,0.20108032,-0.20184326,9.1167145
1503530534714,0.17489624,-0.27801514,9.109573
1503530534724,0.17727661,-0.20422363,9.171463
1503530534735,0.16299438,-0.1828003,9.111954
1503530534744,0.15109253,-0.23754883,9.128616
1503530534754,0.19155884,-0.20184326,9.140518
1503530534764,0.19631958,-0.23040771,9.095291
1503530534774,0.19631958,-0.25897217,9.104813
1503530534784,0.14157104,-0.21136475,9.076248
1503530534793,0.17965698,-0.21850586,9.169083
1503530534803,0.1701355,-0.23278809,9.128616
1503530534813,0.1534729,-0.2399292,9.08815
1503530534823,0.15585327,-0.18518066,9.183365
1503530534832,0.1534729,-0.23040771,9.073868
1503530534842,0.15109253,-0.19232178,9.164322
1503530534852,0.15585327,-0.2399292,9.21669
1503530534862,0.20584106,-0.22088623,9.147659
1503530534872,0.18203735,-0.21850586,9.133377
1503530534882,0.17251587,-0.22088623,9.073868
1503530534891,0.16061401,-0.206604,9.08815
1503530534902,0.17489624,-0.22564697,9.15242
1503530534912,0.19631958,-0.21136475,9.130997
1503530534921,0.20584106,-0.2565918,9.114334
1503530534931,0.16537476,-0.21136475,9.107193
1503530534941,0.18203735,-0.19708252,9.107193
1503530534950,0.16299438,-0.206604,9.057205
1503530534961,0.16775513,-0.23754883,9.0976715
1503530534971,0.18203735,-0.25183105,9.059586
1503530534981,0.22488403,-0.17089844,9.121475
1503530534990,0.14871216,-0.22802734,9.169083
1503530535000,0.14633179,-0.206604,9.178604
1503530535010,0.14633179,-0.21850586,9.104813
1503530535020,0.16775513,-0.21136475,9.121475
1503530535030,0.17251587,-0.24945068,9.092911
1503530535040,0.17965698,-0.26849365,9.185745
1503530535049,0.14871216,-0.22088623,9.061966
1503530535059,0.19631958,-0.21850586,9.138138
1503530535069,0.16537476,-0.19232178,9.1167145
1503530535079,0.18917847,-0.2399292,9.109573
1503530535089,0.1368103,-0.19232178,9.102432
1503530535099,0.15109253,-0.24468994,9.169083
1503530535109,0.18917847,-0.22564697,9.09053
1503530535118,0.17965698,-0.22802734,9.15242
1503530535128,0.2034607,-0.19708252,9.083389
1503530535138,0.18203735,-0.20898438,9.15242
1503530535147,0.19155884,-0.21612549,9.109573
1503530535158,0.17965698,-0.2232666,9.157181
1503530535168,0.17489624,-0.24468994,9.038162
1503530535177,0.20108032,-0.21612549,9.145279
1503530535187,0.1867981,-0.22802734,9.15242
1503530535197,0.22012329,-0.20184326,9.071487
1503530535207,0.16061401,-0.16851807,9.135757
1503530535216,0.1867981,-0.27563477,9.095291
1503530535227,0.14871216,-0.20422363,9.128616
1503530535236,0.15109253,-0.21374512,9.102432
1503530535246,0.15823364,-0.19232178,9.223831
1503530535256,0.18441772,-0.23278809,9.08815
1503530535266,0.18203735,-0.25183105,9.076248
1503530535276,0.23440552,-0.21612549,9.123856
1503530535286,0.17965698,-0.24945068,9.138138
1503530535296,0.19869995,-0.20422363,9.123856
1503530535305,0.2034607,-0.20898438,9.128616
1503530535315,0.23678589,-0.22802734,9.09053
1503530535326,0.16299438,-0.1899414,9.135757
1503530535335,0.19631958,-0.22564697,9.1809845
1503530535345,0.2034607,-0.2232666,9.147659
1503530535355,0.15109253,-0.23754883,9.064346
1503530535365,0.17251587,-0.19946289,9.123856
1503530535374,0.15585327,-0.22088623,9.126236
1503530535384,0.15823364,-0.25183105,9.047684
1503530535394,0.1701355,-0.19232178,9.130997
1503530535404,0.15823364,-0.24707031,9.121475
1503530535414,0.15585327,-0.23754883,9.128616
1503530535424,0.15585327,-0.21850586,9.133377
1503530535433,0.15823364,-0.24707031,9.138138
1503530535443,0.19393921,-0.19946289,9.061966
1503530535453,0.2034607,-0.24945068,9.138138
1503530535463,0.1534729,-0.21850586,9.15004
1503530535473,0.13919067,-0.23040771,9.08815
1503530535482,0.18441772,-0.19708252,9.145279
1503530535492,0.16775513,-0.21612549,9.109573
1503530535502,0.19155884,-0.23516846,9.104813
1503530535512,0.13919067,-0.21374512,9.119095
1503530535522,0.13442993,-0.23754883,9.09053
1503530535532,0.19631958,-0.206604,9.081009
1503530535542,0.17489624,-0.21374512,9.1167145
1503530535552,0.2034607,-0.19232178,9.09053
1503530535561,0.14157104,-0.20422363,9.104813
1503530535571,0.21774292,-0.17565918,9.121475
1503530535581,0.19631958,-0.21850586,9.200027
1503530535591,0.1867981,-0.20422363,9.109573
1503530535600,0.17489624,-0.20422363,9.145279
1503530535610,0.13204956,-0.24945068,9.128616
1503530535620,0.17251587,-0.24230957,9.145279
1503530535631,0.20822144,-0.18756104,9.138138
1503530535640,0.2106018,-0.23278809,9.171463
1503530535650,0.19155884,-0.23754883,9.095291
1503530535660,0.12728882,-0.19470215,9.164322
1503530535670,0.19393921,-0.206604,9.128616
1503530535679,0.17965698,-0.17565918,9.178604
1503530535690,0.1701355,-0.24468994,9.064346
1503530535699,0.2034607,-0.21850586,9.100052
1503530535709,0.15585327,-0.27087402,9.095291
1503530535719,0.17251587,-0.15899658,9.104813
1503530535728,0.2034607,-0.19708252,9.126236
1503530535738,0.18441772,-0.23754883,9.130997
1503530535749,0.2106018,-0.23040771,9.183365
1503530535758,0.1701355,-0.24230957,9.109573
1503530535768,0.16061401,-0.22802734,9.121475
1503530535778,0.18441772,-0.21612549,9.104813
1503530535788,0.17727661,-0.17803955,9.15004
1503530535798,0.17727661,-0.23040771,9.1167145
1503530535808,0.19155884,-0.21612549,9.095291
1503530535818,0.18441772,-0.23040771,9.038162
1503530535827,0.17727661,-0.23278809,9.121475
1503530535837,0.21774292,-0.23040771,9.159561
1503530535847,0.1368103,-0.23278809,9.15004
1503530535857,0.1701355,-0.21374512,9.15004
1503530535867,0.16061401,-0.21850586,9.092911
